year,teamId,team,classification,conference,division,expectedWins,total.games,total.wins,total.losses,total.ties,conferenceGames.games,conferenceGames.wins,conferenceGames.losses,conferenceGames.ties,homeGames.games,homeGames.wins,homeGames.losses,homeGames.ties,awayGames.games,awayGames.wins,awayGames.losses,awayGames.ties,neutralSiteGames.games,neutralSiteGames.wins,neutralSiteGames.losses,neutralSiteGames.ties,regularSeason.games,regularSeason.wins,regularSeason.losses,regularSeason.ties,postseason.games,postseason.wins,postseason.losses,postseason.ties
2025,2570,CSU Pueblo,ii,Rocky Mountain,,,12,10,2,0,9,9,0,0,6,4,2,0,6,6,0,0,0,0,0,0,11,10,1,0,1,0,1,0
2025,2884,Nichols College,iii,Commonwealth Coast,,,10,2,8,0,5,0,5,0,4,1,3,0,6,1,5,0,0,0,0,0,10,2,8,0,0,0,0,0
2025,119,Towson,fcs,CAA,,5.051264015957713,12,6,6,0,8,4,4,0,5,1,4,0,7,5,2,0,0,0,0,0,12,6,6,0,0,0,0,0
2025,2116,UCF,fbs,Big 12,,5.755343325436115,12,5,7,0,9,2,7,0,7,5,2,0,5,0,5,0,0,0,0,0,12,5,7,0,0,0,0,0
2025,238,Vanderbilt,fbs,SEC,,9.082079249434173,13,10,3,0,8,6,2,0,7,7,0,0,5,3,2,0,1,0,1,0,12,10,2,0,1,0,1,0
2025,455,West Virginia Wesleyan,ii,Mountain East,,,11,0,11,0,8,0,8,0,6,0,6,0,5,0,5,0,0,0,0,0,11,0,11,0,0,0,0,0
2025,2733,Wilmington (OH),iii,Ohio,,,10,3,7,0,8,1,7,0,5,1,4,0,5,2,3,0,0,0,0,0,10,3,7,0,0,0,0,0
2025,286,North Carolina Wesleyan,iii,USA South,,,10,4,6,0,7,2,5,0,5,1,4,0,5,3,2,0,0,0,0,0,10,4,6,0,0,0,0,0
2025,2348,Louisiana Tech,fbs,Conference USA,,8.906039774417877,13,8,5,0,8,5,3,0,6,5,1,0,6,2,4,0,1,1,0,0,12,7,5,0,1,1,0,0
2025,374,St John Fisher University,iii,Empire 8,,,11,7,4,0,6,4,2,0,6,4,2,0,5,3,2,0,0,0,0,0,11,7,4,0,0,0,0,0
2025,66,Iowa State,fbs,Big 12,,7.637283030897379,12,8,4,0,9,5,4,0,6,4,2,0,5,3,2,0,1,1,0,0,12,8,4,0,0,0,0,0
2025,2968,Gustavus Adolphus,iii,Minnesota,,,10,5,5,0,9,5,4,0,5,2,3,0,5,3,2,0,0,0,0,0,10,5,5,0,0,0,0,0
2025,2467,Norwich,iii,NEWMAC,,,10,1,9,0,7,0,7,0,5,1,4,0,5,0,5,0,0,0,0,0,10,1,9,0,0,0,0,0
2025,65,Grinnell,iii,Midwest,,,10,2,8,0,9,2,7,0,6,2,4,0,4,0,4,0,0,0,0,0,10,2,8,0,0,0,0,0
2025,174,Hobart College,iii,Liberty League,,,11,6,5,0,6,3,3,0,4,3,1,0,7,3,4,0,0,0,0,0,11,6,5,0,0,0,0,0
2025,2871,Kean,iii,New Jersey,,,10,3,7,0,6,1,5,0,6,2,4,0,4,1,3,0,0,0,0,0,10,3,7,0,0,0,0,0
2025,2832,St. Norbert,iii,NACC,,,10,5,5,0,8,5,3,0,5,3,2,0,5,2,3,0,0,0,0,0,10,5,5,0,0,0,0,0
2025,2800,Alma,iii,Michigan,,,11,8,3,0,7,7,0,0,5,4,1,0,6,4,2,0,0,0,0,0,10,8,2,0,1,0,1,0
2025,2450,Norfolk State,fcs,MEAC,,4.063497398048639,12,1,11,0,5,0,5,0,5,1,4,0,5,0,5,0,2,0,2,0,12,1,11,0,0,0,0,0
2025,9,Arizona State,fbs,Big 12,,6.215887748636305,13,8,5,0,9,6,3,0,7,5,2,0,5,3,2,0,1,0,1,0,12,8,4,0,1,0,1,0
2025,2206,Edward Waters,ii,SIAC,,0.0077991485595703125,10,5,5,0,8,4,4,0,5,3,2,0,5,2,3,0,0,0,0,0,10,5,5,0,0,0,0,0
2025,255,Knox College,iii,Midwest,,,10,2,7,1,9,2,6,1,5,1,4,0,5,1,3,1,0,0,0,0,10,2,7,1,0,0,0,0
2025,101,Eureka College,iii,NACC,,,10,2,8,0,8,1,7,0,5,1,4,0,5,1,4,0,0,0,0,0,10,2,8,0,0,0,0,0
2025,29,Redlands,iii,So. Cal.,,,10,6,4,0,8,4,4,0,5,2,3,0,5,4,1,0,0,0,0,0,10,6,4,0,0,0,0,0
2025,124,Augsburg,iii,Minnesota,,,11,4,6,0,10,4,5,0,6,2,3,0,4,2,2,0,1,0,1,0,11,4,6,0,0,0,0,0
2025,2006,Akron,fbs,Mid-American,,5.0001033917069435,12,5,7,0,8,4,4,0,6,3,3,0,6,2,4,0,0,0,0,0,12,5,7,0,0,0,0,0
2025,2241,Gardner-Webb,fcs,Big South-OVC,,6.231208987068385,12,7,5,0,8,5,3,0,5,3,2,0,7,4,3,0,0,0,0,0,12,7,5,0,0,0,0,0
2025,2916,Incarnate Word,fcs,Southland,,6.705806972458959,12,5,7,0,7,3,4,0,6,3,3,0,6,2,4,0,0,0,0,0,12,5,7,0,0,0,0,0
2025,2390,Miami,fbs,ACC,,13.448113068938255,16,13,3,0,8,6,2,0,8,7,1,0,5,4,1,0,3,2,1,0,12,10,2,0,4,3,1,0
2025,2234,Franklin & Marshall,iii,Centennial,,,11,9,2,0,6,6,0,0,6,4,2,0,5,5,0,0,0,0,0,0,10,9,1,0,1,0,1,0
2025,223,West Chester,ii,Pennsylvania State Athletic,Eastern,,11,4,7,0,9,3,6,0,5,2,3,0,6,2,4,0,0,0,0,0,11,4,7,0,0,0,0,0
2025,203,Linfield College,iii,Northwest,,,9,7,2,0,7,6,1,0,6,4,2,0,3,3,0,0,0,0,0,0,9,7,2,0,0,0,0,0
2025,2825,Quincy,ii,Great Lakes,,,11,6,5,0,8,4,4,0,5,3,2,0,6,3,3,0,0,0,0,0,11,6,5,0,0,0,0,0
2025,354,Olivet College,iii,Michigan,,,10,1,9,0,7,1,6,0,6,0,6,0,4,1,3,0,0,0,0,0,10,1,9,0,0,0,0,0
2025,127991,Roosevelt,ii,GLIAC,,,10,2,8,0,7,1,6,0,5,2,3,0,5,0,5,0,0,0,0,0,10,2,8,0,0,0,0,0
2025,2028,Arkansas-Monticello,ii,Great American,,,11,2,9,0,11,2,9,0,5,1,4,0,6,1,5,0,0,0,0,0,11,2,9,0,0,0,0,0
2025,2377,McNeese,fcs,Southland,,4.805757209658623,12,5,7,0,7,4,3,0,6,3,3,0,6,2,4,0,0,0,0,0,12,5,7,0,0,0,0,0
2025,2812,Hope College,iii,Michigan,,,11,9,2,0,7,6,1,0,6,4,2,0,5,5,0,0,0,0,0,0,10,9,1,0,1,0,1,0
2025,2638,UTEP,fbs,Conference USA,,2.7203437201678753,12,2,10,0,8,1,7,0,6,1,5,0,5,0,5,0,1,1,0,0,12,2,10,0,0,0,0,0
2025,2519,Rhodes College,iii,Southern Athletic,,,10,1,9,0,7,0,7,0,5,1,4,0,5,0,5,0,0,0,0,0,10,1,9,0,0,0,0,0
2025,2529,Sacred Heart,fcs,FCS Independents,,6.225355118513107,12,8,4,0,1,1,0,0,6,6,0,0,6,2,4,0,0,0,0,0,12,8,4,0,0,0,0,0
2025,389,Upper Iowa University,ii,Great Lakes,,0.000213623046875,12,9,3,0,8,6,2,0,5,5,0,0,6,3,3,0,1,1,0,0,12,9,3,0,0,0,0,0
2025,228,Clemson,fbs,ACC,,8.636965634301305,13,7,6,0,8,4,4,0,7,3,4,0,5,4,1,0,1,0,1,0,12,7,5,0,1,0,1,0
2025,2184,Duquesne,fcs,NEC,,6.726999204605818,12,7,5,0,7,5,2,0,6,5,1,0,6,2,4,0,0,0,0,0,12,7,5,0,0,0,0,0
2025,433,Westminster College (MO),iii,Upper Midwest,,,10,4,6,0,7,2,5,0,4,2,2,0,6,2,4,0,0,0,0,0,10,4,6,0,0,0,0,0
